module_id	present	fraction
M00533	1965	0.09186106306390539
M00534	8	0.000373989060819971
M00535	878	0.04104529942499182
M00537	2	9.349726520499275e-05
M00538	6	0.00028049179561497826
M00539	16	0.000747978121639942
M00540	197	0.009209480622691786
M00541	23	0.0010752185498574167
M00542	10	0.0004674863260249638
M00543	6	0.00028049179561497826
M00544	2	9.349726520499275e-05
M00545	1185	0.05539712963395821
M00546	2657	0.12421111682483288
M00547	1	4.6748632602496374e-05
M00548	459	0.021457622364545837
M00549	9624	0.44990884016642513
M00550	1869	0.08737319433406573
M00551	1265	0.05913702024215792
M00552	4364	0.2040110326772942
M00554	6521	0.3048478332008789
M00555	4727	0.22098078631200038
M00563	0	0.0
M00564	0	0.0
M00565	5725	0.2676359216492918
M00567	0	0.0
M00568	2672	0.12491234631387033
M00569	1080	0.050488523210696086
M00570	18556	0.8674676265719228
M00572	7291	0.3408442803048011
M00573	114	0.005329344116684587
M00574	5	0.0002337431630124819
M00575	143	0.006685054462156982
M00576	0	0.0
M00577	6185	0.2891402926464401
M00579	14611	0.6830442709550746
M00580	1107	0.05175073629096349
M00595	1113	0.052031228086578465
M00596	187	0.008741994296666823
M00597	454	0.021223879201533354
M00598	1	4.6748632602496374e-05
M00608	0	0.0
M00609	806	0.03767939787761208
M00620	3	0.00014024589780748913
M00621	14494	0.6775746809405825
M00622	897	0.04193352344443925
M00623	215	0.010050956009536722
M00624	9	0.0004207376934224674
M00625	19	0.0008882240194474311
M00627	3916	0.1830676452713758
M00630	0	0.0
M00631	3388	0.1583843672572577
M00632	10160	0.4749661072413632
M00633	0	0.0
M00636	8	0.000373989060819971
M00637	712	0.03328502641297742
M00638	226	0.010565190968164181
M00639	338	0.015801037819643777
M00641	379	0.01771773175634613
M00642	1545	0.0722266373708569
M00643	230	0.010752185498574167
M00649	429	0.020055163386470946
M00651	29	0.001355710345472395
M00652	268	0.012528633537469028
M00660	71	0.003319152914777243
M00661	0	0.0
M00664	325	0.015193305595811323
M00672	0	0.0
M00673	5	0.0002337431630124819
M00674	34	0.0015894535084848768
M00675	29	0.001355710345472395
M00696	415	0.019400682530035997
M00697	34	0.0015894535084848768
M00698	381	0.01781122902155112
M00700	888	0.04151278575101678
M00702	293	0.013697349352531439
M00704	107	0.005002103688467112
M00705	429	0.020055163386470946
M00714	17	0.0007947267542424384
M00718	43	0.0020101912019073443
M00725	206	0.009630218316114254
M00726	214	0.010004207376934224
M00730	89	0.004160628301622177
M00736	1	4.6748632602496374e-05
M00740	0	0.0
M00741	2339	0.10934505165723903
M00744	5	0.0002337431630124819
M00745	1252	0.058529288018325465
M00746	0	0.0
M00761	1799	0.08410079005189099
M00763	256	0.011967649946239072
M00769	9	0.0004207376934224674
M00773	0	0.0
M00774	2	9.349726520499275e-05
M00775	0	0.0
M00776	0	0.0
M00777	3069	0.1434715534570614
M00778	210	0.009817212846524238
M00779	23	0.0010752185498574167
M00780	2	9.349726520499275e-05
M00781	23	0.0010752185498574167
M00782	0	0.0
M00783	4	0.0001869945304099855
M00784	0	0.0
M00785	0	0.0
M00786	0	0.0
M00787	52	0.0024309288953298118
M00788	0	0.0
M00789	0	0.0
M00790	127	0.00593707634051704
M00793	10302	0.48160441307091767
M00794	5	0.0002337431630124819
M00795	0	0.0
M00796	0	0.0
M00797	8	0.000373989060819971
M00798	30	0.0014024589780748914
M00799	33	0.0015427048758823805
M00800	0	0.0
M00801	0	0.0
M00802	11	0.0005142349586274601
M00803	0	0.0
M00804	4	0.0001869945304099855
M00805	1	4.6748632602496374e-05
M00808	48	0.002243934364919826
M00810	4	0.0001869945304099855
M00811	3	0.00014024589780748913
M00814	6	0.00028049179561497826
M00815	3	0.00014024589780748913
M00819	7	0.0003272404282174746
M00823	2	9.349726520499275e-05
M00824	53	0.002477677527932308
M00825	0	0.0
M00826	2	9.349726520499275e-05
M00827	21	0.0009817212846524239
M00828	21	0.0009817212846524239
M00829	0	0.0
M00830	8	0.000373989060819971
M00831	0	0.0
M00832	21	0.0009817212846524239
M00833	5	0.0002337431630124819
M00834	5	0.0002337431630124819
M00835	30	0.0014024589780748914
M00836	0	0.0
M00837	67	0.003132158384367257
M00838	67	0.003132158384367257
M00840	0	0.0
M00841	0	0.0
M00842	0	0.0
M00843	0	0.0
M00844	16788	0.7848160441307092
M00845	361	0.016876256369501193
M00846	15230	0.7119816745360198
M00847	329	0.015380300126221307
M00848	0	0.0
M00849	1	4.6748632602496374e-05
M00850	3	0.00014024589780748913
M00851	396	0.018512458510588567
M00852	4	0.0001869945304099855
M00853	0	0.0
M00854	10122	0.4731896592024683
M00855	3474	0.1624047496610724
M00856	12	0.0005609835912299565
M00857	1	4.6748632602496374e-05
M00859	4	0.0001869945304099855
M00860	4	0.0001869945304099855
M00861	0	0.0
M00862	0	0.0
M00866	11099	0.5188630732551073
M00867	44	0.0020569398345098404
M00868	14335	0.6701416483567856
M00872	0	0.0
M00873	0	0.0
M00874	0	0.0
M00875	112	0.005235846851479594
M00876	274	0.012809125333084008
M00877	106	0.004955355055864616
M00878	1292	0.06039923332242532
M00879	3683	0.17217521387499415
M00880	9870	0.46140900378663924
M00881	13114	0.6130615679491375
M00882	0	0.0
M00883	1251	0.05848253938572297
M00884	0	0.0
M00889	39	0.0018231966714973586
M00890	0	0.0
M00891	0	0.0
M00892	0	0.0
M00893	0	0.0
M00894	0	0.0
M00895	1368	0.06395212940021504
M00896	168	0.007853770277219391
M00897	0	0.0
M00898	0	0.0
M00899	8395	0.3924547706979571
M00900	0	0.0
M00901	0	0.0
M00902	0	0.0
M00903	0	0.0
M00904	0	0.0
M00905	17	0.0007947267542424384
M00906	2	9.349726520499275e-05
M00909	18158	0.8488616707961292
M00910	0	0.0
M00911	0	0.0
M00912	3492	0.16324622504791736
M00913	11217	0.5243794119022018
M00914	0	0.0
M00915	6	0.00028049179561497826
M00916	6616	0.309288953298116
M00917	0	0.0
M00918	467	0.02183161142536581
M00919	1275	0.05960450656818288
M00921	10	0.0004674863260249638
M00922	9	0.0004207376934224674
M00923	1340	0.06264316768734514
M00924	5352	0.25019868168856063
M00925	4586	0.21438922911504837
M00926	13217	0.6178766771071946
M00927	0	0.0
M00928	0	0.0
M00929	0	0.0
M00930	1540	0.07199289420784442
M00931	1761	0.08232434201299613
M00932	74	0.003459398812584732
M00933	0	0.0
M00934	0	0.0
M00935	1	4.6748632602496374e-05
M00936	0	0.0
M00937	0	0.0
