module,MED4_anvio,MED4_metabolic,MED4_kemet,MED4_mpp,SS120_anvio,SS120_metabolic,SS120_kemet,SS120_mpp,MIT9313_anvio,MIT9313_metabolic,MIT9313_kemet,MIT9313_mpp,Pseudomonas_fluorescens_SBW25_anvio,Pseudomonas_fluorescens_SBW25_metabolic,Pseudomonas_fluorescens_SBW25_kemet,Pseudomonas_fluorescens_SBW25_mpp,overall_pattern
M00932,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,blimmp_only
M00938,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00948,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00950,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00957,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00958,anvio_only,neither,neither,neither,anvio_only,neither,neither,neither,anvio_only,neither,neither,neither,both,both,both,blimmp_only,mixed
M00959,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00970,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00972,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00975,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00978,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00982,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M00988,anvio_only,,,,anvio_only,,,,anvio_only,,,,anvio_only,,,,tool_only
M00989,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M00990,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M00995,anvio_only,,,,anvio_only,,,,anvio_only,,,,anvio_only,,,,tool_only
M00996,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M00999,anvio_only,,,,anvio_only,,,,anvio_only,,,,neither,,,,tool_only
M01000,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M01004,neither,,,,anvio_only,,,,neither,,,,neither,,,,tool_only
M01006,neither,,,,neither,,,,neither,,,,anvio_only,,,,tool_only
M01016,anvio_only,,,,anvio_only,,,,neither,,,,anvio_only,,,,tool_only
M01022,neither,,,,neither,,,,anvio_only,,,,anvio_only,,,,tool_only
M01045,anvio_only,,,,anvio_only,,,,anvio_only,,,,neither,,,,tool_only
