sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMN08886369	AG-409-L18 sp003215535	ag409l18_sp003215535	atb.assembly.r0.2.batch.94/SAMN08886369.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886375	AG-409-P01 sp003215335	ag409p01_sp003215335	atb.assembly.r0.2.batch.94/SAMN08886375.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886082	AG-422-B15 sp003282175	ag422b15_sp003282175	atb.assembly.r0.2.batch.94/SAMN08886082.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886488	AG-430-B22 sp003212795	ag430b22_sp003212795	atb.assembly.r0.2.batch.94/SAMN08886488.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN02261382	AHLZ01 sp000244995	ahlz01_sp000244995	atb.assembly.r0.2.batch.94/SAMN02261382.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN02471424	AKCV01 sp000272025	akcv01_sp000272025	atb.assembly.r0.2.batch.94/SAMN02471424.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMEA14371270	ATCC-39006 sp002847015	atcc39006_sp002847015	atb.assembly.r0.2.batch.96/SAMEA14371270.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMEA14371262	ATCC-39006 sp002847015	atcc39006_sp002847015	atb.assembly.r0.2.batch.96/SAMEA14371262.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMEA14371260	ATCC-39006 sp002847015	atcc39006_sp002847015	atb.assembly.r0.2.batch.96/SAMEA14371260.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMEA14371259	ATCC-39006 sp002847015	atcc39006_sp002847015	atb.assembly.r0.2.batch.96/SAMEA14371259.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMEA14371261	ATCC-39006 sp002847015	atcc39006_sp002847015	atb.assembly.r0.2.batch.96/SAMEA14371261.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMN10134658	AU392 sp003443635	au392_sp003443635	atb.assembly.r0.2.batch.96/SAMN10134658.fa	atb.assembly.r0.2.batch.96.tar.xz	https://osf.io/download/667155b965e1de5e8b893c9b/	27b30311143ccef747f8875d25ad8c61	290.21
SAMD00166229	Abditibacterium sp023169805	abditibacterium_sp023169805	atb.assembly.r0.2.batch.92/SAMD00166229.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00012605	Abiotrophia defectiva	abiotrophia_defectiva	atb.assembly.r0.2.batch.92/SAMD00012605.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN11056500	Abiotrophia defectiva	abiotrophia_defectiva	atb.assembly.r0.2.batch.92/SAMN11056500.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN00008801	Abiotrophia defectiva	abiotrophia_defectiva	atb.assembly.r0.2.batch.92/SAMN00008801.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
